monthly_income,phone_bill_paid_on_time,electricity_usage,num_apps_installed,social_media_hours,upi_txn_count,sms_notifs,location_cluster,creditworthy
83969,0,620,155,8.9,39,4,1,0
53001,0,777,192,0.6,25,12,2,0
86552,0,930,162,8.8,29,19,1,0
33897,1,825,68,4.5,16,7,1,1
78148,1,600,87,5.1,19,13,1,1
33483,1,216,133,6.3,15,14,2,1
58555,1,485,123,9.3,45,10,0,1
27159,0,443,31,0.2,42,0,1,0
90077,0,683,167,4.8,6,2,0,0
45920,0,494,181,6.9,15,16,0,0
77121,0,163,41,7.2,44,18,2,0
79479,1,816,188,6.9,46,13,2,1
99475,1,820,183,1.3,47,7,0,1
29457,0,171,122,3.0,26,12,1,0
76557,0,888,129,3.6,22,19,2,0
87189,1,373,158,8.0,23,2,1,1
88953,0,419,131,2.8,8,4,1,0
62995,1,437,41,2.1,34,8,1,1
50757,0,465,128,9.6,19,5,0,0
19692,0,594,48,0.1,36,1,1,0
55758,0,706,21,10.0,41,12,0,0
82409,0,265,184,6.8,16,4,0,0
81211,0,643,27,8.3,46,7,1,0
75697,0,110,158,2.9,30,0,1,0
47065,0,400,150,0.1,7,19,1,0
42606,1,828,158,7.4,14,11,1,1
21534,1,900,135,8.3,30,10,0,0
50397,1,201,145,7.4,29,6,1,1
11016,1,524,55,1.4,45,14,1,0
99789,1,491,113,7.5,19,10,0,1
65591,0,878,144,7.7,38,15,2,0
99812,0,313,160,6.6,11,2,2,0
33247,1,790,95,7.7,48,19,0,1
34300,0,187,159,8.5,16,13,2,0
84065,1,652,98,6.1,41,2,0,1
92798,1,500,31,0.9,29,0,1,1
19268,0,687,101,4.9,28,14,1,0
96807,0,988,38,0.8,18,0,2,0
22185,0,145,22,4.1,45,16,1,0
73704,1,771,11,4.1,10,1,2,1
96779,0,562,38,0.7,33,19,2,0
49099,1,691,189,3.5,49,5,1,1
18571,1,409,36,1.1,6,7,1,0
48044,1,185,59,8.1,43,15,2,1
61214,0,191,104,9.5,33,18,1,0
71228,0,759,160,0.7,19,0,0,0
58984,1,772,97,9.6,49,2,1,1
50774,0,813,53,5.2,37,2,1,0
12568,0,341,31,3.0,23,4,0,0
72592,0,964,180,0.8,9,11,1,0
77563,1,101,174,5.0,31,11,1,1
12695,1,324,198,7.9,14,19,2,0
58190,0,900,106,7.1,36,12,1,0
15258,1,844,193,0.5,19,19,1,0
97538,0,688,12,0.7,2,8,0,0
49504,0,215,127,4.0,36,6,2,0
43159,0,765,28,3.0,39,3,2,0
23986,0,202,32,2.3,7,18,2,0
71858,1,293,166,2.8,39,18,1,1
22666,1,265,39,8.0,43,5,2,0
48660,1,970,48,9.3,22,12,0,1
13561,0,189,117,4.1,39,10,2,0
36854,0,785,120,9.1,10,12,0,0
74505,0,221,34,3.2,45,12,2,0
62251,1,242,137,4.8,7,19,2,1
32662,0,205,120,2.3,28,14,0,0
18392,1,986,145,6.4,29,12,2,0
40535,1,527,115,9.8,9,10,2,1
88603,1,404,195,6.0,38,18,2,1
62256,1,971,153,3.6,27,7,1,1
99135,1,416,81,6.5,48,19,0,1
45222,1,734,138,1.2,35,7,2,1
87373,0,108,117,8.9,12,9,0,0
89575,0,873,14,5.0,31,15,0,0
94651,1,172,12,4.5,35,18,0,1
73335,1,458,141,5.9,36,10,2,1
20965,0,322,113,6.2,25,12,2,0
34538,1,515,73,0.7,21,8,0,1
80592,1,652,115,6.8,3,19,1,0
18110,0,469,107,2.4,30,18,0,0
89309,1,815,19,7.1,17,15,1,1
37266,1,363,158,8.2,37,6,0,1
62992,1,939,137,8.0,23,18,0,1
92948,0,789,55,5.5,22,11,0,0
16910,0,959,164,5.2,21,14,2,0
10206,0,417,75,1.4,1,13,1,0
97054,1,183,178,7.8,30,10,1,1
97897,1,417,121,2.7,10,9,0,1
33419,0,210,22,5.0,27,10,2,0
60636,1,350,146,2.8,45,5,2,1
60015,1,482,173,1.3,31,1,1,1
64268,1,106,95,6.3,4,10,2,0
97939,1,558,99,0.5,37,18,1,1
28141,1,183,67,7.5,9,5,1,0
90356,0,307,63,3.2,39,13,1,0
81910,1,999,21,0.0,45,19,2,1
66044,0,489,23,5.1,23,5,1,0
77214,1,413,130,0.5,34,16,1,1
43827,0,121,171,2.8,43,9,0,0
65820,1,509,190,7.1,47,0,1,1
72623,0,994,130,0.6,22,2,1,0
91734,1,614,29,8.4,16,7,0,1
85450,0,226,84,0.0,0,7,0,0
32299,1,908,153,2.5,30,19,2,1
53585,0,799,79,7.4,30,14,1,0
74044,1,973,65,3.2,41,6,2,1
52557,0,113,110,1.0,41,10,2,0
59080,0,111,195,3.6,33,6,0,0
12693,1,186,141,2.7,8,3,2,0
79163,1,623,120,8.4,21,11,1,1
35939,0,636,134,3.1,12,5,0,0
58925,1,400,141,7.9,24,13,1,1
52941,0,342,29,8.9,47,11,1,0
31834,0,221,147,4.3,17,10,0,0
28047,0,246,33,9.1,11,18,1,0
36105,1,666,163,3.8,39,4,0,1
85766,0,849,46,9.6,16,13,1,0
25707,0,455,63,0.9,14,15,0,0
31976,1,784,112,6.9,41,12,2,1
54262,1,832,158,4.9,14,19,1,1
33776,1,730,47,3.9,14,3,0,1
40080,1,408,183,6.3,38,10,1,1
76842,0,794,13,7.0,12,16,1,0
71373,0,387,197,0.0,16,6,1,0
16776,0,406,66,1.7,31,13,0,0
65016,0,911,182,7.1,8,10,2,0
19474,1,693,29,6.7,39,8,2,0
68053,0,822,26,9.7,19,12,2,0
31959,0,761,128,7.6,25,17,0,0
15530,1,648,80,9.5,26,10,2,0
13748,0,451,13,7.0,20,14,0,0
23545,0,411,23,3.0,17,18,1,0
76199,0,972,12,1.1,12,0,1,0
44766,0,158,89,7.8,15,3,2,0
83530,0,742,195,6.4,8,13,0,0
71087,0,813,64,0.5,11,13,1,0
78840,1,854,141,3.6,43,2,0,1
64384,1,134,129,9.6,37,16,0,1
61005,0,544,33,5.0,18,2,1,0
56576,0,192,171,4.3,6,15,0,0
49353,1,306,167,4.6,34,13,1,1
72003,0,452,91,2.1,47,19,1,0
93211,0,431,156,3.7,17,12,1,0
62733,0,916,168,3.7,15,14,0,0
75318,1,961,197,0.5,38,13,1,1
99474,0,824,69,7.7,3,18,0,0
33664,1,258,156,4.2,24,5,1,1
77172,0,123,58,8.2,31,9,1,0
95616,1,503,72,8.5,39,14,2,1
36736,1,904,119,2.1,12,19,2,1
10854,0,615,159,6.6,44,5,2,0
48623,1,831,161,4.7,16,9,0,1
17392,0,463,118,8.8,48,6,0,0
65680,1,481,85,2.2,36,16,1,1
56717,0,631,39,6.8,5,17,1,0
97092,0,251,67,6.1,18,16,1,0
60859,1,661,126,3.0,12,8,1,1
36309,0,788,168,1.4,25,9,0,0
97455,0,707,109,6.5,13,9,1,0
73734,1,716,28,7.4,30,6,1,1
80467,0,519,185,3.2,3,15,2,0
62662,0,349,182,6.4,38,17,1,0
22688,1,216,103,4.0,7,5,1,0
35342,1,965,192,7.1,24,19,1,1
47157,0,611,122,2.0,12,0,0,0
77863,0,839,192,8.9,31,0,2,0
62083,1,677,155,2.9,37,11,1,1
75733,1,434,72,3.7,37,1,1,1
99045,0,517,125,0.6,27,3,2,0
44698,1,873,122,1.1,29,16,1,1
90623,0,394,56,5.2,2,3,0,0
32671,0,854,66,2.7,27,10,1,0
35184,0,470,127,8.4,2,3,0,0
52107,0,285,54,0.1,44,0,0,0
96202,0,345,170,3.8,33,6,1,0
61663,1,736,154,3.4,15,17,2,1
25708,1,367,13,0.2,21,8,0,0
59811,1,742,157,1.2,31,2,2,1
12811,1,336,56,4.1,37,7,1,0
66250,0,629,152,4.9,7,18,0,0
82082,0,651,56,4.0,7,3,1,0
44754,0,120,87,5.3,5,17,2,0
21411,0,836,133,6.0,13,19,1,0
12911,1,966,84,0.1,31,10,1,0
77270,0,893,112,4.6,34,13,0,0
93763,0,619,146,9.6,9,17,1,0
18680,1,199,99,5.2,2,15,1,0
94896,1,851,153,6.8,11,2,1,1
93879,1,577,78,3.1,48,14,0,1
81295,1,698,70,7.7,30,3,2,1
98614,0,397,147,7.7,28,4,2,0
21111,0,625,59,5.2,4,16,1,0
47504,1,433,12,9.8,24,6,0,1
11802,0,101,116,1.3,40,15,1,0
18155,0,474,122,0.2,30,13,2,0
83656,0,392,103,7.7,20,15,0,0
49384,1,936,127,8.1,19,6,2,1
57254,0,652,90,1.2,38,8,2,0
31918,1,417,118,2.7,21,3,0,1
95981,0,601,60,0.2,3,10,0,0
70713,0,927,156,2.9,12,1,1,0
40306,0,480,179,7.7,44,11,1,0
26646,1,722,44,5.2,41,11,2,0
56843,0,113,55,3.5,49,3,0,0
26371,1,603,163,3.7,48,17,0,0
87371,1,330,78,0.0,19,6,1,1
12049,1,183,102,3.0,12,0,2,0
41616,0,229,73,6.5,16,12,2,0
30932,0,842,174,9.7,35,5,1,0
39855,0,937,58,8.5,32,5,0,0
71434,0,244,158,0.2,0,11,1,0
82694,1,990,83,9.0,14,7,1,1
53016,1,956,14,7.8,12,18,1,1
17400,1,127,109,7.8,16,4,1,0
52642,0,165,79,4.6,23,17,0,0
25151,1,262,99,4.0,7,4,1,0
61407,0,328,13,3.0,49,9,0,0
76690,1,360,135,0.7,26,0,1,1
14499,0,548,48,2.3,44,9,2,0
16295,0,523,172,2.5,22,4,0,0
69040,1,559,138,4.8,45,11,2,1
22183,1,775,33,7.5,7,6,1,0
39299,1,400,66,4.7,7,8,1,1
22874,1,402,109,0.6,25,11,1,0
42711,0,386,79,9.6,46,0,0,0
15539,1,494,50,9.4,12,10,2,0
63351,1,109,191,7.9,38,14,0,1
71267,1,806,183,9.9,36,1,0,1
58354,0,729,69,5.4,48,19,1,0
12557,0,369,117,9.6,27,6,2,0
48360,1,691,197,0.8,24,11,1,1
92018,0,704,66,3.7,15,17,0,0
12200,1,877,40,2.3,1,2,1,0
78497,0,943,93,2.0,17,6,2,0
56975,0,961,161,1.4,16,10,1,0
31357,0,460,45,6.2,29,17,2,0
87505,0,356,167,7.8,38,11,2,0
12869,1,232,161,5.8,12,5,1,0
71135,1,375,117,1.5,31,4,0,1
60108,1,875,115,8.1,49,0,1,1
48467,0,782,167,6.4,28,11,0,0
33328,1,612,95,3.9,45,10,0,1
96831,1,412,144,6.7,29,3,1,1
13987,1,675,172,2.6,17,17,0,0
68871,0,985,192,3.5,12,3,0,0
32399,0,383,23,9.2,42,16,1,0
56214,0,220,129,2.9,20,1,1,0
96416,1,206,147,4.7,29,1,1,1
80271,1,786,89,8.9,20,11,0,1
54064,1,303,153,7.1,47,5,2,1
80091,0,264,191,0.6,16,9,0,0
50818,0,404,115,1.5,39,15,2,0
55525,1,596,79,0.1,18,13,1,1
29830,0,731,53,6.3,14,6,2,0
27429,0,655,82,4.5,8,18,1,0
16893,0,923,54,1.3,9,16,1,0
89909,0,255,193,9.6,43,8,2,0
57333,1,466,116,5.3,30,12,1,1
13436,0,818,93,2.4,22,4,2,0
84290,0,719,91,5.0,29,4,1,0
86213,0,350,116,6.8,32,9,0,0
15895,0,981,194,0.8,8,9,0,0
29738,1,433,30,2.7,46,6,1,0
40746,1,741,187,8.1,0,14,1,0
59377,0,610,170,4.6,43,6,2,0
58404,0,392,16,5.5,34,14,0,0
64045,0,119,79,4.3,10,2,2,0
49790,0,381,136,0.4,33,18,1,0
15600,0,896,152,1.7,15,9,1,0
50764,0,100,169,4.5,8,14,2,0
84543,1,218,157,2.1,31,2,1,1
55714,0,134,152,0.5,14,5,0,0
66835,1,297,185,8.4,11,11,2,1
83744,1,584,158,9.8,32,14,0,1
66491,0,856,179,7.9,44,5,0,0
28589,1,158,163,8.5,13,12,0,0
53484,1,936,129,2.4,7,18,2,1
92989,1,260,137,9.6,7,2,1,1
46212,1,790,151,2.0,26,7,0,1
53525,1,305,66,9.5,11,7,0,1
57202,1,111,174,9.9,0,19,0,0
42635,0,589,67,7.1,42,14,1,0
73208,1,375,30,9.8,39,3,1,1
43828,1,792,91,5.7,41,18,2,1
28711,1,341,78,2.6,10,2,1,0
13420,0,315,140,4.4,38,12,2,0
10301,1,350,96,5.9,42,7,2,0
55236,0,910,174,0.7,30,15,2,0
76235,1,225,58,6.2,16,12,2,1
64240,0,316,156,9.8,32,2,2,0
75726,0,405,124,1.9,31,15,0,0
20492,1,896,98,7.9,28,8,1,0
16102,1,284,94,9.1,20,13,0,0
60336,0,138,137,9.4,20,12,2,0
95314,1,322,149,9.6,39,6,1,1
36641,0,283,198,5.2,22,14,0,0
44584,0,594,178,9.8,5,6,0,0
42745,0,526,170,7.6,21,5,2,0
33093,0,277,187,1.6,49,1,0,0
76105,0,527,126,4.8,37,8,0,0
61885,1,393,136,7.2,36,16,0,1
46631,0,951,80,2.5,44,4,0,0
82991,0,250,95,6.4,7,11,0,0
14014,1,483,42,6.7,40,0,2,0
21093,0,737,90,1.6,48,9,2,0
28070,1,912,161,5.7,34,10,0,0
45777,1,407,70,7.7,10,15,2,1
66958,1,435,70,5.0,23,13,2,1
92074,0,845,107,0.1,48,7,1,0
20729,0,991,37,0.1,20,16,0,0
55017,0,474,195,3.6,1,17,2,0
76320,1,107,52,9.3,39,11,2,1
37751,0,440,178,2.3,18,16,0,0
88069,1,228,176,6.3,38,13,1,1
64748,0,875,95,2.2,27,15,0,0
15801,1,768,186,3.2,16,13,1,0
29190,0,451,26,8.5,5,8,0,0
59689,0,457,107,7.3,18,3,0,0
60993,0,616,107,1.0,37,10,0,0
39592,1,594,74,4.3,27,5,0,1
20647,1,185,83,0.3,1,14,1,0
18716,0,274,94,4.8,37,4,1,0
98891,0,901,14,6.6,36,10,2,0
97545,1,292,11,1.2,3,17,0,0
99912,1,410,31,2.9,21,12,1,1
80316,1,218,121,4.0,25,10,1,1
12368,0,317,66,9.2,48,13,1,0
87575,1,526,75,9.9,42,17,0,1
16655,0,513,83,0.4,35,18,2,0
80031,1,213,107,7.6,12,14,1,1
86429,0,244,153,3.7,31,8,0,0
97922,1,637,121,3.9,16,7,1,1
65766,1,747,188,7.5,40,19,1,1
23403,1,402,134,9.2,35,0,2,0
42097,1,843,176,9.5,45,3,1,1
88657,1,980,95,5.8,18,13,1,1
20966,0,687,85,3.6,34,1,0,0
62921,1,939,97,7.9,45,15,0,1
59726,1,444,177,2.5,39,2,2,1
60300,1,913,47,5.6,27,7,0,1
32677,0,900,197,3.6,0,5,0,0
65609,1,100,68,6.6,41,15,2,1
66661,0,246,147,2.4,17,15,1,0
41024,1,386,108,1.9,47,6,2,1
80313,1,753,72,9.2,39,12,0,1
63006,0,152,58,1.0,32,12,2,0
25338,1,403,41,5.1,11,4,1,0
78027,0,168,144,2.2,7,19,2,0
90135,0,460,30,0.4,23,17,0,0
29508,1,701,29,0.4,15,14,0,0
13051,0,319,163,1.8,49,17,2,0
58747,1,803,136,8.7,3,1,1,0
97142,1,674,77,2.8,37,9,2,1
97235,0,684,119,9.5,43,12,1,0
64021,0,260,125,5.8,26,17,1,0
76412,0,780,152,4.4,8,14,2,0
68335,0,188,129,5.8,46,11,1,0
66179,1,787,88,5.2,15,14,0,1
42093,1,880,125,7.6,11,12,2,1
79678,0,684,101,2.8,30,17,1,0
90738,1,856,23,3.5,23,14,0,1
49734,1,688,164,8.9,13,10,2,1
82615,1,258,134,9.5,44,18,0,1
83523,1,588,177,8.9,24,2,0,1
27019,0,423,67,4.2,33,6,0,0
93613,0,709,37,7.8,2,13,1,0
96672,1,480,35,4.8,23,13,2,1
83847,0,201,122,5.0,41,12,2,0
92750,0,593,75,2.0,8,11,1,0
89634,0,743,162,5.9,25,8,2,0
38251,1,713,140,1.9,19,0,0,1
35945,1,118,53,3.3,39,18,2,1
42217,1,553,106,8.6,9,10,1,1
18308,0,581,51,2.1,18,18,0,0
15949,1,693,15,0.7,2,17,1,0
61990,1,496,176,0.7,23,11,0,1
11150,0,378,189,9.4,4,0,0,0
99480,1,950,32,5.1,2,18,2,0
84740,1,464,98,4.1,26,19,0,1
76617,0,430,132,8.1,15,16,1,0
26896,0,740,187,8.4,48,4,2,0
56175,0,443,180,3.3,14,2,1,0
17805,1,921,156,6.9,34,1,0,0
15237,1,554,60,7.7,11,2,1,0
30056,1,700,20,6.5,40,7,1,1
55543,0,824,21,1.5,43,15,0,0
66556,0,754,83,8.8,25,5,2,0
13343,1,164,17,5.4,46,12,1,0
23500,1,175,161,2.8,33,15,0,0
63222,0,810,50,4.3,22,15,2,0
39375,0,242,173,0.4,30,2,2,0
19662,0,927,94,1.3,49,12,2,0
26964,0,704,81,7.7,19,13,1,0
69638,1,572,64,0.0,11,7,1,1
83666,0,516,146,4.2,22,11,1,0
95067,1,404,56,5.2,3,7,2,0
77215,1,835,152,0.5,22,8,1,1
79042,1,596,185,9.7,47,0,0,1
23284,0,390,113,2.3,47,5,1,0
82789,0,201,51,3.0,0,18,1,0
94664,0,366,69,3.0,24,10,2,0
71389,0,966,21,2.3,1,10,1,0
19435,1,721,139,0.0,29,12,0,0
64340,0,941,16,7.3,2,10,2,0
54078,0,876,89,9.7,20,17,0,0
88832,1,102,140,2.2,24,14,2,1
61293,0,184,118,6.6,19,0,2,0
88781,1,893,12,7.4,48,6,1,1
70403,1,427,36,8.5,21,12,0,1
39124,1,915,123,4.2,20,11,2,1
53919,1,549,116,3.0,32,17,1,1
45247,1,553,49,3.3,37,18,2,1
72752,1,728,170,7.1,14,14,2,1
66573,1,320,138,8.2,45,7,2,1
69101,1,253,17,1.8,14,18,2,1
36646,0,764,110,3.7,45,9,2,0
33049,0,111,169,9.0,24,6,2,0
89605,0,232,133,8.1,20,17,1,0
78385,0,403,185,9.8,23,15,2,0
50158,1,392,116,7.5,4,19,0,0
75417,0,399,110,3.9,5,5,1,0
33289,1,839,13,5.9,48,8,0,1
19823,0,882,119,6.6,42,12,2,0
70160,0,142,28,0.8,47,7,0,0
51975,0,442,41,5.4,43,15,2,0
19540,1,425,146,7.1,46,12,2,0
26364,0,913,21,1.7,22,12,1,0
14611,1,597,148,7.8,3,16,1,0
37663,1,463,55,5.8,26,19,2,1
61991,0,990,128,9.5,17,4,1,0
67679,0,526,25,0.4,20,16,0,0
40977,0,120,138,2.7,27,8,1,0
59115,1,506,72,6.0,34,1,1,1
98223,0,718,118,3.0,21,17,0,0
70890,1,435,128,7.1,39,8,1,1
76387,1,914,30,7.6,22,5,2,1
28071,0,216,167,1.0,2,10,0,0
69275,0,223,22,5.1,39,5,2,0
82369,1,498,171,5.1,49,5,0,1
21938,1,892,13,3.7,9,12,2,0
45195,1,903,165,9.3,24,10,2,1
14000,0,814,111,8.3,48,13,1,0
80588,1,150,68,7.0,7,1,2,1
48304,0,882,137,7.1,10,7,1,0
79449,1,423,36,4.6,4,2,0,0
92986,1,888,78,9.2,44,2,2,1
99643,0,240,34,6.9,36,0,2,0
30764,1,569,140,7.3,44,18,0,1
96027,0,886,106,8.6,37,17,0,0
48494,0,901,34,2.7,28,16,2,0
13373,1,433,157,8.1,4,19,0,0
22161,0,992,171,2.0,8,12,1,0
37350,0,472,163,3.5,47,2,0,0
35351,1,663,135,3.4,1,0,0,0
98668,0,593,142,9.8,0,3,2,0
25305,0,638,198,8.6,39,12,1,0
85353,0,768,18,7.0,29,16,0,0
86797,1,850,125,7.3,10,10,1,1
75953,0,255,187,5.6,27,1,1,0
67458,1,390,143,9.5,43,15,1,1
30358,1,747,69,5.0,11,1,2,1
13267,0,243,181,3.8,38,18,0,0
92745,0,205,130,1.6,25,18,2,0
99588,0,519,148,7.9,12,15,0,0
48513,1,769,184,7.3,7,18,0,1
36092,0,757,117,3.8,27,8,2,0
21338,0,101,117,0.3,29,0,1,0
10412,0,688,140,8.4,8,9,1,0
17543,0,743,85,0.1,38,18,0,0
43496,0,189,39,7.0,30,0,2,0
70692,1,444,30,9.7,20,1,1,1
99084,1,449,165,4.4,46,15,1,1
54425,0,558,199,2.3,33,11,0,0
48756,0,362,170,7.0,30,7,0,0
28888,0,450,172,8.2,24,17,2,0
45735,0,207,189,5.5,11,1,0,0
57295,1,685,43,9.7,0,12,1,0
93042,0,138,50,0.5,21,5,1,0
95999,1,258,60,5.0,39,5,1,1
27955,1,682,184,7.2,36,8,1,0
47841,0,411,91,8.6,46,15,2,0
80640,1,340,67,1.8,0,10,2,0
75510,1,544,84,8.0,0,6,0,0
44911,1,397,194,5.5,41,9,0,1
69031,1,135,32,4.0,41,9,0,1
98726,0,183,185,1.3,20,19,2,0
17357,0,551,137,8.7,14,17,1,0
42479,1,985,159,1.6,16,19,0,1
71476,0,874,26,3.1,21,8,1,0
54811,0,921,78,2.9,37,14,0,0
46208,0,484,117,8.7,34,3,0,0
30150,0,271,148,6.7,44,7,0,0
81180,0,475,103,8.0,15,8,0,0
53286,1,784,24,2.5,7,12,0,1
78450,0,461,100,6.2,46,8,1,0
31352,0,658,172,5.7,16,3,0,0
65069,0,990,42,8.3,16,16,1,0
24397,0,240,134,9.1,25,15,2,0
51555,1,986,25,0.1,12,14,0,1
56959,1,217,171,6.7,16,2,1,1
10728,1,376,75,0.5,37,19,2,0
60517,1,825,177,5.5,16,4,2,1
76234,0,319,165,2.9,47,4,2,0
49954,1,125,56,3.1,13,19,1,1
57280,0,620,176,3.5,44,14,0,0
89459,0,882,157,6.2,5,17,0,0
26779,0,109,133,3.3,34,14,1,0
73932,0,477,10,7.3,45,1,0,0
82936,0,732,96,4.0,13,12,1,0
34466,1,736,137,0.7,46,3,0,1
46939,1,781,76,7.8,7,9,2,1
79896,1,683,13,2.9,14,12,0,1
45270,1,251,195,4.3,26,9,1,1
69163,0,819,162,6.9,12,8,1,0
92637,1,148,56,3.3,48,7,2,1
61934,0,253,47,0.6,30,2,1,0
74895,1,958,152,3.7,34,15,0,1
42307,0,392,30,9.4,5,13,0,0
64098,0,679,66,6.4,4,8,2,0
70921,1,149,126,6.7,21,10,1,1
15486,0,763,190,6.3,48,2,2,0
18335,0,630,55,2.0,22,4,0,0
96900,1,711,151,4.2,24,9,2,1
99112,0,159,154,7.5,33,12,1,0
21130,1,266,48,1.0,25,3,2,0
97508,1,301,146,2.8,46,12,1,1
70566,1,956,108,2.8,4,11,1,0
76703,0,245,86,4.3,25,4,0,0
37192,0,775,124,9.8,19,9,0,0
11062,0,538,143,0.7,5,8,0,0
94076,1,341,160,5.2,5,19,1,0
99780,0,680,196,1.8,49,6,2,0
31545,1,786,100,9.7,17,1,1,1
31689,1,660,107,1.1,3,6,0,0
21174,0,582,129,4.0,16,7,0,0
98461,1,207,55,7.4,13,6,2,1
19348,0,325,47,7.0,13,13,0,0
33714,0,772,151,4.2,12,18,0,0
48102,0,730,109,3.5,6,4,0,0
84460,0,760,81,4.0,43,17,2,0
99930,0,761,199,2.6,14,19,1,0
16801,1,531,44,2.1,18,11,0,0
82267,1,904,156,4.8,42,16,2,1
58136,1,754,39,2.7,46,12,0,1
33625,0,518,87,2.9,43,1,2,0
92873,0,554,93,6.6,34,12,0,0
82592,0,259,122,9.7,16,6,2,0
87052,1,622,34,6.0,34,9,0,1
54261,0,749,177,0.8,18,5,1,0
11542,1,689,97,0.8,19,2,0,0
31677,1,176,23,9.5,35,2,2,1
56732,0,608,163,3.0,34,17,0,0
60343,0,540,111,0.9,31,10,1,0
49081,1,353,159,6.0,47,19,0,1
72856,0,869,185,6.2,43,4,2,0
98858,1,419,92,6.5,39,18,2,1
29065,0,902,119,2.7,23,18,1,0
93460,0,362,188,0.2,16,14,2,0
98092,1,696,140,9.7,6,15,0,1
64693,0,757,179,2.5,42,8,0,0
36962,1,934,28,6.8,49,3,0,1
38295,0,653,37,7.1,0,14,2,0
23807,1,473,182,6.1,34,11,0,0
52348,1,736,80,3.1,31,2,0,1
36432,0,266,72,2.7,35,13,0,0
93285,1,852,82,6.0,12,16,1,1
67854,0,558,133,8.7,5,18,2,0
50262,0,379,128,9.5,13,5,2,0
47080,0,799,130,1.1,36,3,2,0
11324,1,401,28,1.5,47,6,1,0
45909,1,630,184,9.4,14,18,2,1
99339,0,679,151,7.4,46,16,1,0
29870,0,317,129,8.8,3,15,1,0
44578,1,201,175,2.0,39,14,2,1
82124,0,653,190,5.9,15,7,0,0
36790,0,387,70,7.0,27,18,0,0
35289,1,266,173,6.8,15,7,2,1
65129,0,720,177,4.1,3,17,2,0
25485,1,135,39,0.2,44,15,1,0
54482,0,843,18,5.8,25,19,2,0
96188,1,840,73,2.5,27,18,1,1
14748,0,452,170,4.5,31,9,2,0
96769,0,775,129,9.6,44,16,0,0
19435,1,998,61,4.0,1,12,0,0
13709,0,172,98,8.4,30,12,2,0
40355,1,747,151,1.9,2,6,1,0
65771,0,452,62,6.7,7,9,0,0
67799,1,990,196,9.8,23,1,1,1
23116,1,169,87,1.0,14,3,2,0
35470,1,524,50,0.1,42,5,2,1
52344,1,807,77,4.3,30,17,0,1
52918,0,880,17,0.9,8,5,2,0
62224,0,660,11,7.5,38,16,0,0
49298,1,927,114,9.1,44,13,1,1
90219,1,741,134,4.3,1,10,0,0
71629,1,616,119,2.6,7,18,0,1
76040,0,527,95,4.3,6,1,1,0
38016,0,638,178,7.2,43,2,0,0
33960,0,259,129,0.1,38,10,0,0
43591,0,248,136,5.9,41,5,2,0
92848,1,875,192,6.1,15,13,1,1
77641,1,329,25,6.4,34,18,0,1
46395,1,811,71,2.4,29,15,1,1
32700,0,661,122,7.1,9,6,1,0
44620,0,166,185,0.9,37,7,0,0
30559,0,911,167,2.0,17,18,2,0
71642,1,480,21,8.8,49,19,1,1
86539,1,157,44,7.4,4,15,0,0
31732,0,358,20,0.1,28,6,1,0
40354,1,441,73,2.5,38,8,2,1
23843,0,937,59,2.1,33,12,2,0
81726,0,229,158,2.7,42,0,2,0
27640,1,826,78,2.5,44,7,0,0
62528,0,271,57,0.6,22,3,0,0
48413,1,869,29,4.6,4,2,2,0
